year,depth_to_water,longitude,latitude
2022,98.08,-118.41846,34.01292
2022,95.38,-118.41846,34.01292
2023,93.15,-118.41846,34.01292
2023,81.42,-118.41846,34.01292
2023,80.88,-118.41846,34.01292
2023,77.86,-118.41846,34.01292
2022,98.78,-118.41836,34.0128
2022,98.82,-118.41836,34.0128
2022,98.95,-118.41836,34.0128
2022,99.17,-118.41836,34.0128
2022,99.29,-118.41836,34.0128
2022,99.48,-118.41836,34.0128
2022,99.49,-118.41836,34.0128
2022,99.76,-118.41836,34.0128
2022,99.01,-118.41836,34.0128
2022,98.1,-118.41836,34.0128
2022,95.85,-118.41836,34.0128
2023,88.4,-118.41836,34.0128
2023,86.39,-118.41836,34.0128
2023,81.47,-118.41836,34.0128
2023,80.9,-118.41836,34.0128
2023,77.96,-118.41836,34.0128
2022,99.76,-118.41831,34.01131
2022,99.9,-118.41831,34.01131
2022,100.1,-118.41831,34.01131
2022,100.38,-118.41831,34.01131
2022,100.56,-118.41831,34.01131
2022,100.71,-118.41831,34.01131
2022,100.86,-118.41831,34.01131
2022,100.98,-118.41831,34.01131
2022,99.93,-118.41831,34.01131
2022,98.78,-118.41831,34.01131
2022,97.83,-118.41831,34.01131
2022,96.22,-118.41831,34.01131
2023,94.28,-118.41831,34.01131
2023,89.5,-118.41831,34.01131
2023,87.83,-118.41831,34.01131
2023,84.19,-118.41831,34.01131
2023,82.71,-118.41831,34.01131
2023,79.69,-118.41831,34.01131
2022,98.92,-118.41788,34.01225
2022,98.82,-118.41788,34.01225
2022,99.11,-118.41788,34.01225
2022,99.3,-118.41788,34.01225
2022,99.38,-118.41788,34.01225
2022,99.63,-118.41788,34.01225
2022,99.72,-118.41788,34.01225
2022,99.86,-118.41788,34.01225
2022,99.41,-118.41788,34.01225
2022,98.66,-118.41788,34.01225
2022,97.58,-118.41788,34.01225
2022,96.5,-118.41788,34.01225
2023,94.65,-118.41788,34.01225
2023,89.39,-118.41788,34.01225
2023,87.43,-118.41788,34.01225
2023,83.6,-118.41788,34.01225
2023,82.09,-118.41788,34.01225
2023,79.1,-118.41788,34.01225
2023,94.15,-118.41773,34.01213
2023,88.96,-118.41773,34.01213
2023,87.17,-118.41773,34.01213
2023,83.26,-118.41773,34.01213
2023,81.66,-118.41773,34.01213
2023,78.69,-118.41773,34.01213
2023,95.28,-118.41761,34.01239
2023,90.03,-118.41761,34.01239
2023,88.27,-118.41761,34.01239
2023,84.15,-118.41761,34.01239
2023,82.58,-118.41761,34.01239
2023,79.6,-118.41761,34.01239
2022,89.4,-118.41743,34.0125
2022,89.41,-118.41743,34.0125
2022,89.38,-118.41743,34.0125
2022,89.35,-118.41743,34.0125
2022,89.32,-118.41743,34.0125
2022,89.19,-118.41743,34.0125
2022,89.23,-118.41743,34.0125
2023,89.25,-118.41743,34.0125
2023,88.87,-118.41743,34.0125
2023,87.91,-118.41743,34.0125
2023,83.75,-118.41743,34.0125
2023,82.21,-118.41743,34.0125
2023,79.4,-118.41743,34.0125
2022,38.14,-119.761,34.45021
2022,39.02,-119.761,34.45021
2023,31.84,-119.761,34.45021
2022,40.82,-119.76146,34.45024
2022,40.93,-119.76146,34.45024
2023,38.53,-119.76146,34.45024
2022,6.47,-118.0292,33.78188
2022,6.95,-118.0292,33.78188
2023,3.03,-118.0292,33.78188
2023,5.79,-118.0292,33.78188
2022,7.32,-118.02909,33.78203
2022,7.68,-118.02909,33.78203
